query_idx,recall@10,mrr@10,ndcg@10
0,0.7772880130024902,0.5665641033049191,0.6199379403008292
1,0.8413949488517025,0.6006855690218943,0.7074015022939572
2,0.4627824106829265,0.2068372675431847,0.2772552049899567
3,0.7956836087996264,0.5947703897843445,0.6204640309575159
4,1.0,1.0,1.0
5,0.7163685348025534,0.5427375867933066,0.5777874389796611
6,0.7228811154061849,0.5264473563910428,0.5703354789818748
7,0.7581474391095399,0.5751615254195263,0.6430338063054384
8,0.7573620468398029,0.5362116171478778,0.582717030664115
9,0.7689092777279598,0.6469751564671815,0.6583213123704494
10,1.0,0.8715941851431754,0.8626109292037012
11,1.0,0.8336283046972799,1.0
12,0.9348274966320409,0.6760734135649568,0.7239786110857542
13,0.5650657307305164,0.4540874100129695,0.41200437462328154
14,0.8358510257590412,0.6165780542606782,0.6284154771081485
15,0.7247404866199548,0.5126022386900901,0.5965279507470214
16,0.5342420447423265,0.32947929901715506,0.38076631946787176
17,0.8035814871787755,0.5685977438855251,0.5810035076697024
18,0.921873030596716,0.7102758496826042,0.727766822361307
19,0.61171273793313,0.4323340093308643,0.46823080649207194
20,1.0,1.0,1.0
21,0.4855059737860799,0.20676689151373467,0.2698367690334322
22,0.7308885474603833,0.4561856174418403,0.5272965017507923
23,0.7545193176812488,0.5552407265773914,0.5594556755368023
24,0.8279168705916786,0.6847702909750556,0.6647231084643647
25,0.7930318487740377,0.5799801313169296,0.6386115159298186
26,0.6654223991362008,0.5005323488652084,0.5541799598438667
27,0.7103360492870596,0.5348626326821844,0.5663511723510358
28,0.8756539236816213,0.6918607818437236,0.763004858477499
29,1.0,0.8189452587723611,0.855209489006819
30,0.7122807505148079,0.4859160970514723,0.5367397010531854
31,0.6306781389639765,0.40900307737498787,0.49269199902028893
32,0.5795903208083738,0.38440591973924954,0.4322869730282718
33,0.9244220441476847,0.7307036557249222,0.7038760187459874
34,0.7111328296912482,0.49021951580312306,0.49477861356800307
35,1.0,0.8931866722354458,0.8725836539878082
36,0.772932571153188,0.5916666690916835,0.5980748013332423
37,0.6561510757154604,0.5019037375417321,0.5748931463899787
38,0.8971266560255883,0.6522921075713458,0.7552443308679246
39,0.8873238588038078,0.7318017516109404,0.749287097953932
40,0.7877387690530563,0.5894012071923969,0.6168767709576134
41,0.5164890171390824,0.30696792858058203,0.3489791045614056
42,0.7174522381136837,0.4986536819786867,0.5504359801167267
43,0.9660396188324429,0.7627185646758334,0.7508219517380633
44,0.5643114505893214,0.38577114565279547,0.44589635393098226
45,0.996525347065636,0.8054080916121457,0.8088892619053764
46,0.6350194294257665,0.44066073608790945,0.485992222076277
47,0.6752905659501941,0.48764356559782485,0.5161577737117761
48,0.46138574404510746,0.25527729189291154,0.2923261562839527
49,1.0,0.8054105808463807,0.8792590876019916
50,1.0,0.852016916205673,0.9296937642061185
51,0.9544783100292495,0.8077949404513005,0.8011575377988719
52,0.6247040314041375,0.4699956628771529,0.4935941205603875
53,0.5742655119114786,0.34339866195829793,0.3881241560523201
54,1.0,1.0,1.0
55,1.0,0.8341943853654337,0.8374097890658506
56,0.763690817822973,0.5654096997979727,0.6128455868212584
57,0.6738255899566334,0.4906852956944587,0.5555907029424083
58,0.5699425287013524,0.40186920194691444,0.3824185846982071
59,0.9160644896704665,0.7408874965522783,0.7858432556768156
60,0.6013382930165361,0.3767557731628768,0.43539820922786066
61,0.584662840443805,0.4290721944761173,0.46685954916391215
62,0.5187615080324769,0.3337545172188065,0.38462049327855086
63,0.5424600796596277,0.3254624707213501,0.35560226731567895
64,1.0,0.8806410364456393,0.915775884404127
65,0.7109228548423928,0.5476831843371424,0.5779085716111881
66,0.715679512715292,0.545334729135319,0.6073523244224173
67,0.6927551582742902,0.4756044853740632,0.5659723412607548
68,0.777481190589135,0.5508367378111644,0.5607962742128522
69,1.0,0.8936707893408062,0.9862180335809881
70,0.7179017289264609,0.5413624402001176,0.6303944316915944
71,0.6986001169280559,0.5312333100194966,0.5961026419789128
72,0.6955831010222842,0.5410946943672328,0.5440322502659624
73,0.8444938173157455,0.6237572874350494,0.6523443323080158
74,1.0,0.9131494731614691,0.9651804320784755
75,0.566526574854193,0.42344948399196736,0.4594444273112266
76,0.8637421100530251,0.7019866178966127,0.7373889397164197
77,0.6557504765248128,0.4531591221692409,0.5546873556129107
78,0.8040247348600404,0.5957614876908948,0.6742519115625636
79,0.9181267826916867,0.7320359536574086,0.7939039468911996
80,0.5932775961132801,0.43699959934507926,0.4895354956637117
81,0.7347430664873171,0.5277762719418926,0.5617526365838633
82,0.638077435821588,0.39490919144214176,0.5134618674885728
83,0.6696113107088244,0.47932236494332014,0.5064069952472603
84,0.6439798035885776,0.37249994958699223,0.4339121469924906
85,0.8056134498771839,0.5990918067679464,0.6834895149306086
86,0.9097702553705451,0.6991288607716872,0.7794210058403427
87,1.0,0.9447234891870979,0.9636985826582442
88,0.7925148174488893,0.5900500984475031,0.6053695891847285
89,0.5643406264717701,0.3994951769313745,0.45046203464503776
90,0.48422352948127406,0.32386378972697805,0.3829830097418841
91,0.8107766717191105,0.7073954938894503,0.7435656942196615
92,0.8463262041417826,0.5833232895724481,0.682398533662981
93,0.7581251006183433,0.5113977986738845,0.5880229936840626
94,0.9840891294365162,0.8016892396391455,0.8743356855990065
95,0.5724820627337858,0.38246532528861527,0.41412397956537195
96,0.6224833468814133,0.41329134858244104,0.4123638990255989
97,1.0,0.9089216246588809,0.9670060622049859
98,0.8170395311213441,0.6115155094417567,0.6269901657756464
99,0.7768292643113041,0.5594777145539227,0.6014597295495526
100,0.9749633345129213,0.7796207479500415,0.8379211899179777
101,0.8185933005740662,0.5391570085720315,0.6486152206211382
102,0.4718281749646563,0.304791369514391,0.2889302555161609
103,0.6008654881148341,0.42267132672755947,0.5116827967843285
104,0.8773008737041053,0.6610585392778889,0.7273199937380307
105,0.3681953704776751,0.1692381651270516,0.2573411700004087
106,0.7120152463295262,0.5060747702809604,0.5449856249279258
107,0.9299423146434291,0.769645202001697,0.8209848831998545
108,1.0,0.8415775500688174,0.9095394758312181
109,0.65164085135766,0.4859335648985641,0.466698194262386
110,0.7186939117922279,0.48321665524105073,0.5699138500115544
111,1.0,0.878837069126138,0.8150167497852524
112,0.7814982034020963,0.5725276982570681,0.6161708792837618
113,1.0,0.951960973320373,0.9883244117399589
114,0.8293299243810968,0.6244885833824839,0.700615223117382
115,0.8441640216775358,0.6161007390662253,0.6995470081884213
116,0.7308736936323736,0.5994174724109593,0.6161352489932677
117,0.7424217187885698,0.6064204801755289,0.5979735396288786
118,0.721358129020231,0.48515572118745337,0.5798833596294038
119,0.5157340320554566,0.3293776233318981,0.35562775562923177
120,0.5284311663969036,0.2590740677909537,0.34388347667586744
121,0.7004755408606411,0.5219902880004283,0.5619906661202054
122,1.0,0.8318895676792052,0.8608124862849039
123,0.7967760757760922,0.6132488505931823,0.6689337902860267
124,0.6708735648909964,0.5158220437938718,0.5321685320769761
125,0.6905949146086467,0.48292700532915095,0.5028032981282503
126,1.0,0.927549868229714,0.9702104476931962
127,0.5184852904648927,0.286605965408414,0.39682254893048297
128,0.5985436091338957,0.38882279859715885,0.4355960566253628
129,1.0,0.9432758926172451,0.9902719347229267
130,0.8656258116927878,0.7086283676360832,0.7047808136298613
131,0.9817611356142977,0.8197852321302241,0.8482737416017462
132,0.8279396892278754,0.6827571198998228,0.633938425988965
133,0.5474134051856613,0.2897648350917837,0.3800837914841497
134,0.5586114195716844,0.3753043447586418,0.4114692960754385
135,0.6817779537354526,0.5057146082476587,0.5645979052268637
136,0.6750677343214151,0.48220444479376434,0.548565769325446
137,0.5861760748238852,0.39712499017365055,0.43616812679979977
138,0.8207023939027186,0.6115184915167208,0.674406054297734
139,0.4661488169520714,0.284330142258969,0.34759582173436004
140,0.4260442613099315,0.2064983695958808,0.257709295632818
141,0.7517726351106103,0.5622986512990251,0.5768081567790617
142,0.37325411658466656,0.24966667698420175,0.28799446615826046
143,0.9100272422506699,0.7289051772596183,0.7518412566441858
144,0.7329066508141155,0.5390700143191168,0.5812720754389219
145,0.8698742349377674,0.712269930661982,0.7240735395993206
146,0.81090981779162,0.6138352855392778,0.6170499610680003
147,0.7126118783193822,0.5735768998242649,0.5673037911754253
148,0.8099789713781985,0.6155614252501839,0.6062941462618084
149,1.0,0.9520780761343579,1.0
150,0.6777508280725852,0.4969908317186058,0.4909315589484464
151,0.8395084301293947,0.6329667839115112,0.7219044600387394
